      Skeleton      	     bodyID      	 Motion 	  Rate  
S004C003P020R001A003	72057594037929551	0.072460	1.000000
S004C003P020R001A005	72057594037929551	0.072371	1.000000
S004C003P020R001A006	72057594037929551	0.067370	1.000000
S004C003P020R001A007	72057594037929551	0.075106	1.000000
S005C002P016R001A008	72057594037936020	0.094669	1.000000
S007C001P007R002A024	72057594037932153	0.163720	0.854839
S007C001P008R001A023	72057594037944797	0.063115	1.000000
S007C001P008R001A024	72057594037944797	0.065241	1.000000
S007C001P008R001A026	72057594037944797	0.065268	0.890244
S007C001P008R001A027	72057594037944797	0.064225	1.000000
S007C001P008R001A029	72057594037944797	0.063976	0.986928
S007C001P008R001A031	72057594037944797	0.065781	0.949153
S007C001P015R002A024	72057594037956585	0.045503	0.842105
S007C001P015R002A026	72057594037956585	0.044899	0.758242
S007C001P017R001A007	72057594037954845	0.053884	0.893333
S007C002P007R001A010	72057594037936661	0.054866	0.931818
S007C002P008R001A039	72057594037958314	0.063731	1.000000
S007C002P008R001A040	72057594037958314	0.066548	0.859375
S007C002P008R002A003	72057594037958314	0.057150	0.731707
S007C002P008R002A007	72057594037958314	0.056315	0.813559
S007C002P018R002A008	72057594037945922	0.030946	0.944444
S007C002P025R001A023	72057594037940682	0.056902	1.000000
S007C002P025R001A024	72057594037940682	0.053763	0.948276
S007C002P025R001A026	72057594037940682	0.055693	1.000000
S007C002P025R001A027	72057594037940682	0.053671	1.000000
S007C002P025R001A029	72057594037940682	0.054158	1.000000
S007C002P025R002A023	72057594037941043	0.053937	0.944444
S007C002P025R002A024	72057594037941043	0.051103	0.942857
S007C002P025R002A026	72057594037941043	0.053198	0.846154
S007C002P025R002A027	72057594037941043	0.053209	0.929825
S007C002P025R002A029	72057594037941043	0.042111	0.894118
S008C002P001R001A001	72057594037934343	0.096574	1.000000
S008C002P001R001A002	72057594037934343	0.091595	1.000000
S008C002P001R001A003	72057594037934343	0.097092	0.989011
S008C002P001R001A005	72057594037934343	0.090432	1.000000
S008C002P001R001A006	72057594037934343	0.100763	1.000000
S008C002P001R001A007	72057594037934343	0.092832	1.000000
S008C002P001R001A008	72057594037934343	0.081478	1.000000
S010C001P018R002A001	72057594037936987	0.048840	1.000000
S010C001P018R002A003	72057594037937060	0.044981	1.000000
S010C001P018R002A005	72057594037937060	0.046124	1.000000
S010C001P018R002A006	72057594037937060	0.046072	1.000000
S010C001P018R002A007	72057594037937060	0.047300	1.000000
S010C001P018R002A024	72057594037937100	0.044870	1.000000
S010C001P018R002A026	72057594037937100	0.041808	0.986842
S010C001P018R002A027	72057594037937100	0.042510	0.983333
S010C001P018R002A029	72057594037937100	0.044148	0.976562
S010C001P018R002A031	72057594037937100	0.044633	0.988636
S010C001P018R002A034	72057594037937100	0.042361	0.936709
S010C001P018R002A035	72057594037937100	0.042764	1.000000
S010C001P018R002A036	72057594037937100	0.041790	1.000000
S010C001P018R002A039	72057594037937100	0.043754	1.000000
S010C001P018R002A040	72057594037937100	0.044138	0.978261
S010C002P018R002A001	72057594037937419	0.041249	0.991870
S010C002P018R002A026	72057594037937665	0.061102	0.710526
S010C002P018R002A027	72057594037937665	0.061528	1.000000
S010C002P018R002A029	72057594037937665	0.058870	1.000000
S010C002P018R002A031	72057594037937665	0.060384	0.965909
S010C002P018R002A034	72057594037937665	0.052695	0.987179
S010C002P018R002A035	72057594037937665	0.062181	1.000000
S010C002P018R002A036	72057594037937665	0.063405	1.000000
S010C002P018R002A039	72057594037937665	0.056222	1.000000
S010C002P018R002A040	72057594037937665	0.070865	1.000000
S010C003P018R001A001	72057594037933836	0.081703	0.789474
S010C003P018R001A002	72057594037933836	0.090024	0.897260
S010C003P018R001A003	72057594037933836	0.089864	0.944000
S010C003P018R001A005	72057594037933836	0.088051	0.956989
S010C003P018R001A006	72057594037933836	0.086965	0.931818
S010C003P018R001A007	72057594037933836	0.083427	0.900000
S010C003P018R002A001	72057594037934307	0.053083	1.000000
S010C003P018R002A008	72057594037934499	0.050640	1.000000
S010C003P018R002A009	72057594037934499	0.042977	1.000000
S010C003P018R002A026	72057594037934548	0.032623	1.000000
S010C003P018R002A027	72057594037934548	0.035643	0.883333
S010C003P018R002A029	72057594037934548	0.034798	0.992188
S010C003P018R002A031	72057594037934548	0.032260	0.955056
S010C003P018R002A034	72057594037934548	0.032015	1.000000
S010C003P018R002A035	72057594037934548	0.039657	0.780822
S010C003P018R002A040	72057594037934548	0.031639	0.782609
S011C001P018R001A024	72057594037934969	0.065117	1.000000
S011C001P018R001A026	72057594037934969	0.066075	1.000000
S011C001P018R001A027	72057594037934969	0.064648	1.000000
S011C001P018R001A029	72057594037934969	0.064006	1.000000
S011C001P018R001A031	72057594037934969	0.065810	1.000000
S011C001P018R001A034	72057594037934969	0.065550	1.000000
S011C001P018R001A035	72057594037934969	0.060931	1.000000
S011C001P018R001A036	72057594037934969	0.059912	1.000000
S011C001P018R001A039	72057594037934969	0.058112	1.000000
S011C001P018R001A040	72057594037934969	0.064021	1.000000
S011C001P027R001A005	72057594037931499	0.040322	0.804124
S011C001P027R001A009	72057594037931499	0.042697	0.767123
S011C001P027R001A024	72057594037931499	0.040270	0.938462
S011C001P027R001A031	72057594037931499	0.038578	0.824561
S011C001P027R001A034	72057594037931499	0.036184	0.888889
S011C001P027R001A035	72057594037931499	0.041146	0.811594
S011C002P018R001A024	72057594037933650	0.048618	0.758621
S011C002P018R001A027	72057594037933650	0.051175	0.903226
S011C002P018R001A035	72057594037933650	0.049820	0.887500
S011C002P018R001A036	72057594037933650	0.052681	0.885246
S011C002P018R001A039	72057594037933650	0.056534	0.810345
S011C003P002R001A007	72057594037944223	1.322573	0.714286
S011C003P018R002A001	72057594037932860	0.546402	0.960000
S011C003P018R002A002	72057594037932860	1.515767	0.978261
S011C003P018R002A003	72057594037932860	0.485967	1.000000
S012C002P017R002A010	72057594037933878	0.087195	1.000000
S012C003P008R002A007	72057594037933719	0.080519	1.000000
S012C003P008R002A008	72057594037933719	0.083210	0.934783
S012C003P027R002A008	72057594037929181	0.076889	1.000000
S012C003P037R001A010	72057594037931945	0.058822	0.985075
S013C003P008R002A024	72057594037934302	0.100165	0.890909
S013C003P008R002A034	72057594037934302	0.109806	0.798246
S013C003P018R001A023	72057594037934315	0.077848	1.000000
S013C003P018R001A024	72057594037934315	0.078793	1.000000
S013C003P018R001A026	72057594037934315	0.077206	1.000000
S013C003P018R001A027	72057594037934315	0.077875	1.000000
S013C003P018R001A029	72057594037934315	0.077557	1.000000
S013C003P018R001A031	72057594037934315	0.077319	1.000000
S013C003P018R001A034	72057594037934315	0.083939	1.000000
S013C003P018R001A035	72057594037934315	0.083582	1.000000
S013C003P018R001A036	72057594037934315	0.082183	1.000000
S013C003P018R001A039	72057594037934315	0.082650	1.000000
S013C003P018R001A040	72057594037934315	0.083707	1.000000
S013C003P018R002A031	72057594037934386	0.133586	1.000000
S013C003P018R002A034	72057594037934386	0.116152	1.000000
S013C003P018R002A035	72057594037934386	0.128391	1.000000
S013C003P018R002A036	72057594037934386	0.125715	1.000000
S013C003P018R002A039	72057594037934386	0.133825	1.000000
S013C003P018R002A040	72057594037934386	0.122628	1.000000
S014C002P008R001A002	72057594037930606	0.075924	0.985294
S014C002P015R001A001	72057594037932114	0.111485	0.952381
S014C003P025R001A023	72057594037928923	0.088876	1.000000
S014C003P025R001A024	72057594037928923	0.087433	1.000000
S014C003P025R001A026	72057594037928923	0.082116	1.000000
S014C003P025R001A027	72057594037928923	0.098201	1.000000
S014C003P025R001A029	72057594037928923	0.101517	1.000000
S014C003P025R001A031	72057594037928923	0.092062	1.000000
S014C003P025R001A034	72057594037928923	0.100397	1.000000
S014C003P025R001A035	72057594037928923	0.094904	1.000000
S014C003P025R001A036	72057594037928923	0.105927	1.000000
S014C003P025R001A039	72057594037928923	0.111345	1.000000
S014C003P025R001A040	72057594037928923	0.095101	1.000000
S014C003P025R002A001	72057594037928923	0.103836	1.000000
S014C003P025R002A002	72057594037928923	0.101800	1.000000
S014C003P025R002A003	72057594037928923	0.118924	1.000000
S014C003P025R002A005	72057594037928923	0.099482	1.000000
S014C003P025R002A006	72057594037928923	0.092753	1.000000
S014C003P025R002A007	72057594037928923	0.107094	1.000000
S014C003P025R002A008	72057594037928923	0.101352	1.000000
S014C003P025R002A009	72057594037928923	0.107067	1.000000
S014C003P025R002A010	72057594037928923	0.094306	1.000000
S014C003P027R002A008	72057594037933003	0.075879	0.948276
S015C003P016R002A008	72057594037932964	0.121493	0.769231
S015C003P019R001A001	72057594037930301	0.115758	1.000000
S015C003P019R001A002	72057594037930301	0.121122	1.000000
S015C003P019R001A003	72057594037930301	0.131291	0.992248
S015C003P019R001A005	72057594037930301	0.119428	1.000000
S015C003P019R001A006	72057594037930301	0.116377	1.000000
S015C003P019R001A007	72057594037930301	0.112780	1.000000
S015C003P019R001A008	72057594037930301	0.122435	1.000000
S015C003P019R001A009	72057594037930301	0.111750	1.000000
S015C003P019R001A010	72057594037930301	0.110798	1.000000
S015C003P025R002A001	72057594037930301	0.119952	1.000000
S015C003P025R002A002	72057594037930301	0.118059	1.000000
S015C003P025R002A003	72057594037930301	0.124034	1.000000
S015C003P025R002A005	72057594037930301	0.115676	1.000000
S015C003P025R002A006	72057594037930301	0.124526	1.000000
S015C003P025R002A007	72057594037930301	0.124440	1.000000
S015C003P025R002A008	72057594037930301	0.113591	1.000000
S015C003P025R002A009	72057594037930301	0.126940	0.986486
S015C003P025R002A010	72057594037930301	0.111834	1.000000
S015C003P025R002A023	72057594037930301	0.122831	1.000000
S015C003P025R002A024	72057594037930301	0.122376	1.000000
S015C003P025R002A026	72057594037930301	0.126311	1.000000
S015C003P025R002A027	72057594037930301	0.127228	1.000000
S015C003P025R002A029	72057594037930301	0.115111	1.000000
S015C003P025R002A031	72057594037930301	0.113888	1.000000
S015C003P025R002A035	72057594037930301	0.116919	1.000000
S015C003P025R002A039	72057594037930301	0.111433	1.000000
S015C003P025R002A040	72057594037930301	0.118204	1.000000
S016C001P007R001A010	72057594037933896	0.049026	0.976744
S016C001P007R001A023	72057594037933896	0.043720	1.000000
S016C001P007R001A024	72057594037933896	0.058669	1.000000
S016C001P007R001A026	72057594037933896	0.046338	1.000000
S016C001P007R001A027	72057594037933896	0.041611	1.000000
S016C001P007R001A029	72057594037933896	0.045946	1.000000
S016C001P007R001A031	72057594037933896	0.044412	1.000000
S016C001P007R001A034	72057594037933896	0.045240	1.000000
S016C001P007R001A035	72057594037933896	0.053471	1.000000
S016C001P007R001A036	72057594037933896	0.052600	1.000000
S016C001P007R001A039	72057594037933896	0.049036	1.000000
S016C001P007R001A040	72057594037933896	0.047160	1.000000
S016C001P007R002A001	72057594037933896	0.048656	1.000000
S016C001P007R002A002	72057594037933896	0.040230	1.000000
S016C001P007R002A003	72057594037933896	0.043270	1.000000
S016C001P007R002A005	72057594037933896	0.044193	1.000000
S016C001P007R002A006	72057594037933896	0.044271	1.000000
S016C001P007R002A007	72057594037933896	0.046349	1.000000
S016C001P008R002A034	72057594037934861	0.104659	0.969697
S016C001P008R002A035	72057594037934861	0.100168	0.700000
S016C003P007R002A010	72057594037932623	0.086779	0.862500
S016C003P007R002A023	72057594037932623	0.082329	1.000000
S016C003P007R002A024	72057594037932623	0.075179	1.000000
S016C003P007R002A026	72057594037932623	0.078428	0.980769
S016C003P007R002A027	72057594037932623	0.073663	0.983607
S016C003P007R002A029	72057594037932623	0.075170	0.991935
S016C003P007R002A031	72057594037932623	0.079043	1.000000
S016C003P007R002A034	72057594037932623	0.077103	0.962025
S016C003P007R002A035	72057594037932623	0.077309	1.000000
S016C003P007R002A036	72057594037932623	0.074399	1.000000
S016C003P007R002A039	72057594037932623	0.075700	1.000000
S016C003P007R002A040	72057594037932623	0.076771	1.000000
S016C003P008R001A001	72057594037932791	0.084406	1.000000
S016C003P008R001A001	72057594037932623	0.071075	1.000000
S016C003P008R001A002	72057594037932791	0.076418	1.000000
S016C003P008R001A002	72057594037932623	0.083162	1.000000
S016C003P008R001A003	72057594037932791	0.080225	1.000000
S016C003P008R001A003	72057594037932623	0.080104	1.000000
S016C003P008R001A005	72057594037932791	0.076375	1.000000
S016C003P008R001A005	72057594037932623	0.079786	1.000000
S016C003P008R001A006	72057594037932791	0.065690	1.000000
S016C003P008R001A006	72057594037932623	0.078570	1.000000
S016C003P008R001A007	72057594037932791	0.087288	1.000000
S016C003P008R001A007	72057594037932623	0.078185	1.000000
S016C003P008R001A008	72057594037932791	0.069658	0.842857
S016C003P008R001A009	72057594037932791	0.084190	1.000000
S016C003P008R001A010	72057594037932791	0.071289	0.910256
S016C003P008R001A023	72057594037932791	0.102940	1.000000
S016C003P008R001A024	72057594037932791	0.088046	0.982143
S016C003P008R001A026	72057594037932791	0.057304	1.000000
S016C003P008R001A027	72057594037932791	0.049347	1.000000
S016C003P008R001A029	72057594037932791	0.093521	1.000000
S016C003P008R001A031	72057594037932791	0.086521	1.000000
S016C003P008R001A034	72057594037932791	0.084164	1.000000
S016C003P008R001A035	72057594037932791	0.087391	1.000000
S016C003P008R001A036	72057594037932791	0.100626	1.000000
S016C003P008R001A039	72057594037932791	0.087909	1.000000
S016C003P008R001A040	72057594037932791	0.071499	1.000000
S016C003P008R002A001	72057594037932791	0.061082	1.000000
S016C003P008R002A005	72057594037932791	0.075501	1.000000
S016C003P008R002A007	72057594037932791	0.095878	1.000000
S016C003P008R002A008	72057594037932791	0.091808	0.974359
S016C003P008R002A010	72057594037932791	0.086926	1.000000
S016C003P008R002A023	72057594037932791	0.075391	1.000000
S016C003P008R002A024	72057594037932791	0.061562	1.000000
S016C003P008R002A026	72057594037932791	0.082689	1.000000
S016C003P008R002A027	72057594037932791	0.073799	1.000000
S016C003P008R002A029	72057594037932791	0.083209	1.000000
S016C003P008R002A031	72057594037932791	0.078474	1.000000
S016C003P008R002A034	72057594037932791	0.081459	1.000000
S016C003P008R002A035	72057594037932791	0.078124	1.000000
S016C003P008R002A036	72057594037932791	0.100246	1.000000
S016C003P008R002A039	72057594037932791	0.095597	1.000000
S016C003P008R002A040	72057594037932791	0.088578	1.000000
S016C003P039R001A001	72057594037928910	0.093171	0.989474
S016C003P039R001A002	72057594037928910	0.122758	1.000000
S016C003P039R001A003	72057594037928910	0.088765	1.000000
S016C003P039R001A005	72057594037928910	0.137718	1.000000
S016C003P039R001A006	72057594037928910	0.068831	1.000000
S016C003P039R001A007	72057594037928910	0.119544	1.000000
S016C003P039R001A008	72057594037928910	0.096553	1.000000
S016C003P039R001A009	72057594037928910	0.094209	1.000000
S016C003P039R001A010	72057594037928910	0.085527	1.000000
S016C003P039R001A023	72057594037928910	0.070154	1.000000
S016C003P039R001A024	72057594037928910	0.095429	1.000000
S016C003P039R001A026	72057594037928910	0.095540	1.000000
S016C003P039R001A027	72057594037928910	0.062325	0.984127
S016C003P039R001A029	72057594037928910	0.081215	1.000000
S016C003P039R001A031	72057594037928910	0.064974	1.000000
S016C003P039R001A034	72057594037928910	0.088535	1.000000
S016C003P039R001A035	72057594037928910	0.075556	1.000000
S016C003P039R001A036	72057594037928910	0.063193	1.000000
S016C003P039R001A039	72057594037928910	0.077704	1.000000
S016C003P039R001A040	72057594037928910	0.074681	1.000000
S016C003P039R002A001	72057594037928910	0.077255	1.000000
S016C003P039R002A002	72057594037928910	0.067891	1.000000
S016C003P039R002A003	72057594037928910	0.091182	1.000000
S016C003P039R002A005	72057594037928910	0.083715	1.000000
S016C003P039R002A006	72057594037928910	0.101246	1.000000
S016C003P039R002A007	72057594037928910	0.090369	1.000000
S016C003P039R002A008	72057594037928910	0.117361	1.000000
S016C003P039R002A009	72057594037928910	0.135140	1.000000
S016C003P039R002A010	72057594037928910	0.129744	1.000000
S016C003P040R001A039	72057594037928910	0.096566	1.000000
S016C003P040R001A040	72057594037928910	0.113635	1.000000
S016C003P040R002A001	72057594037928910	0.107084	0.990000
S016C003P040R002A002	72057594037928910	0.156833	1.000000
S016C003P040R002A003	72057594037928910	0.152177	1.000000
S016C003P040R002A005	72057594037928910	0.113330	1.000000
S016C003P040R002A006	72057594037928910	0.105944	1.000000
S016C003P040R002A007	72057594037928910	0.111399	1.000000
S016C003P040R002A008	72057594037928910	0.115505	1.000000
S016C003P040R002A009	72057594037928910	0.115071	1.000000
S016C003P040R002A010	72057594037928910	0.114091	1.000000
S016C003P040R002A023	72057594037928910	0.077720	1.000000
S016C003P040R002A024	72057594037928910	0.107440	1.000000
S016C003P040R002A026	72057594037928910	0.108815	1.000000
S016C003P040R002A027	72057594037928910	0.085547	1.000000
S016C003P040R002A029	72057594037928910	0.087490	1.000000
S016C003P040R002A031	72057594037928910	0.124113	1.000000
S016C003P040R002A034	72057594037928910	0.101774	1.000000
S016C003P040R002A035	72057594037928910	0.085786	1.000000
S016C003P040R002A036	72057594037928910	0.090900	1.000000
S016C003P040R002A039	72057594037928910	0.079811	1.000000
S016C003P040R002A040	72057594037928910	0.097020	1.000000
S017C003P015R002A024	72057594037939303	0.082623	1.000000
S017C003P015R002A026	72057594037939303	0.122448	0.956044
S017C003P015R002A027	72057594037939303	0.111295	1.000000
S017C003P015R002A029	72057594037939303	0.114239	1.000000
S017C003P015R002A031	72057594037939303	0.114207	1.000000
S017C003P015R002A034	72057594037939303	0.120782	1.000000
S017C003P015R002A035	72057594037939303	0.123045	1.000000
S017C003P015R002A036	72057594037939303	0.127587	1.000000
S017C003P015R002A039	72057594037939303	0.124308	1.000000
S017C003P015R002A040	72057594037939303	0.119735	1.000000
S017C003P017R002A010	72057594037938774	0.087143	1.000000
      Skeleton      	     bodyID      	 Motion 	  Rate  
S001C001P001R001A024	72057594037931781	0.157074	1.000000
S001C001P001R001A026	72057594037931781	0.117885	0.951456
S001C001P001R001A027	72057594037931781	0.130834	1.000000
S001C001P001R001A029	72057594037931781	0.112425	1.000000
S001C001P002R001A031	72057594037932971	0.208949	0.980769
S001C001P002R001A034	72057594037932971	0.177563	1.000000
S001C001P002R001A035	72057594037932971	0.177592	1.000000
S001C001P002R001A036	72057594037932971	0.148835	0.990385
S001C001P003R001A001	72057594037936103	0.110893	0.838983
S001C001P003R001A031	72057594037936779	0.175178	0.946667
S001C001P003R002A005	72057594037937524	0.165835	1.000000
S001C001P003R002A026	72057594037937632	0.132771	1.000000
S001C001P003R002A027	72057594037937632	0.150402	1.000000
S001C002P005R002A002	72057594037938980	0.161087	1.000000
S001C002P005R002A003	72057594037938980	0.156821	1.000000
S001C002P008R001A024	72057594037942445	0.138677	0.839286
S001C002P008R001A026	72057594037942445	0.102559	0.977011
S001C002P008R001A027	72057594037942445	0.142680	0.965517
S001C002P008R001A029	72057594037942445	0.084105	0.832061
S001C002P008R001A035	72057594037942450	0.204779	1.000000
S001C002P008R001A036	72057594037942450	0.145159	1.000000
S001C002P008R001A039	72057594037942450	0.172367	1.000000
S001C002P008R001A040	72057594037942450	0.168493	1.000000
S001C003P001R001A024	72057594037931407	0.141099	1.000000
S001C003P001R001A026	72057594037931407	0.118884	1.000000
S001C003P001R001A027	72057594037931407	0.129099	1.000000
S001C003P001R001A029	72057594037931407	0.101731	1.000000
S001C003P003R002A026	72057594037937100	0.116728	0.743902
S001C003P003R002A027	72057594037937100	0.126168	1.000000
S001C003P008R002A023	72057594037944570	0.116835	0.847222
S001C003P008R002A024	72057594037944570	0.130538	0.809524
S001C003P008R002A026	72057594037944570	0.099212	0.747253
S001C003P008R002A027	72057594037944570	0.134264	0.844828
S002C001P011R002A007	72057594037935246	0.175188	1.000000
S003C001P002R001A039	72057594037949954	0.135244	0.983333
S003C001P002R001A040	72057594037949954	0.145899	0.962264
S003C001P018R001A039	72057594037938481	0.078503	0.763889
S003C001P018R002A010	72057594037939137	0.109817	0.946429
S003C001P018R002A023	72057594037939145	0.095215	0.969697
S003C002P002R001A010	72057594037952517	0.149440	0.819672
S003C003P002R002A010	72057594037948249	0.185291	0.837209
S003C003P002R002A023	72057594037948250	0.168412	0.827586
S003C003P002R002A024	72057594037948250	0.157767	0.843750
S003C003P002R002A026	72057594037948250	0.133529	0.858824
S003C003P002R002A027	72057594037948250	0.162625	0.774194
S003C003P002R002A029	72057594037948250	0.115167	0.951456
S003C003P002R002A031	72057594037948307	0.152876	1.000000
S003C003P002R002A034	72057594037948307	0.154844	0.981132
S003C003P002R002A035	72057594037948307	0.143899	0.948276
S003C003P002R002A036	72057594037948307	0.114345	1.000000
S003C003P002R002A039	72057594037948307	0.183579	0.953488
S003C003P002R002A040	72057594037948307	0.148111	0.982143
S003C003P008R002A023	72057594037950621	0.138691	1.000000
S003C003P008R002A024	72057594037950621	0.155042	1.000000
S003C003P008R002A026	72057594037950621	0.121021	1.000000
S003C003P008R002A027	72057594037950621	0.142493	1.000000
S003C003P008R002A029	72057594037950621	0.104671	0.983740
S003C003P008R002A031	72057594037950621	0.142646	1.000000
S003C003P008R002A034	72057594037950621	0.129895	0.967742
S003C003P008R002A035	72057594037950621	0.136785	0.962963
S003C003P008R002A036	72057594037950621	0.125708	0.965909
S003C003P008R002A039	72057594037950621	0.125234	0.988235
S003C003P008R002A040	72057594037950621	0.155172	0.936508
S004C001P003R001A035	72057594037933431	0.138538	0.826087
S004C001P007R002A024	72057594037930164	0.162870	0.800000
S004C001P007R002A026	72057594037930164	0.085255	0.869048
S004C001P008R002A010	72057594037930720	0.091661	0.965909
S004C001P020R001A031	72057594037931815	0.089318	0.830986
S004C001P020R001A034	72057594037931815	0.078844	0.933333
S004C001P020R001A035	72057594037931815	0.085329	0.925000
S004C002P008R002A010	72057594037931506	0.103337	0.965909
S004C003P003R001A039	72057594037931618	0.163103	0.924528
S004C003P003R001A040	72057594037931618	0.168420	0.735849
S004C003P008R002A023	72057594037929551	0.103844	1.000000
S004C003P008R002A024	72057594037929551	0.103171	1.000000
S004C003P008R002A026	72057594037929551	0.103450	1.000000
S004C003P008R002A027	72057594037929551	0.109205	1.000000
S004C003P008R002A029	72057594037929551	0.095717	1.000000
S004C003P008R002A031	72057594037929551	0.096037	1.000000
S004C003P008R002A034	72057594037929551	0.091903	1.000000
S004C003P008R002A035	72057594037929551	0.105208	1.000000
S004C003P008R002A036	72057594037929551	0.101542	1.000000
S004C003P008R002A039	72057594037929551	0.104744	1.000000
S004C003P008R002A040	72057594037929551	0.106846	1.000000
S004C003P020R001A001	72057594037929551	0.086270	1.000000
S004C003P020R001A002	72057594037929551	0.088859	1.000000
S004C003P020R001A003	72057594037929551	0.093441	1.000000
S004C003P020R001A005	72057594037929551	0.099705	1.000000
S004C003P020R001A006	72057594037929551	0.088752	1.000000
S004C003P020R001A007	72057594037929551	0.107531	1.000000
S005C002P016R001A008	72057594037936020	0.144525	1.000000
S007C001P007R002A024	72057594037932153	0.251718	0.854839
S007C001P008R001A023	72057594037944797	0.125569	1.000000
S007C001P008R001A024	72057594037944797	0.132811	1.000000
S007C001P008R001A026	72057594037944797	0.118186	0.890244
S007C001P008R001A027	72057594037944797	0.127809	1.000000
