      Skeleton      	     bodyID      	 Motion 	Length
S005C002P004R002A006	72057594037933202	2.114144	  1   
S005C002P004R002A007	72057594037933202	2.114144	  1   
S005C002P004R002A008	72057594037933202	2.114144	  1   
S005C002P004R002A023	72057594037933212	2.473470	  1   
S005C002P004R002A024	72057594037933212	2.473470	  1   
S005C002P004R002A026	72057594037933212	2.473470	  1   
S005C002P004R002A027	72057594037933212	2.473470	  1   
S005C002P004R002A029	72057594037933212	2.473470	  1   
S005C002P004R002A031	72057594037933212	2.473470	  1   
S005C002P004R002A034	72057594037933212	2.473470	  1   
S005C002P004R002A035	72057594037933212	2.473470	  1   
S005C002P004R002A036	72057594037933212	2.473470	  1   
S005C002P004R002A039	72057594037933212	2.473470	  1   
S005C002P004R002A040	72057594037933212	2.473470	  1   
S006C002P016R001A008	72057594037944587	2.967368	  1   
S007C002P015R001A029	72057594037968830	2.216310	  1   
S007C002P015R001A031	72057594037968830	2.216310	  1   
S008C002P035R002A001	72057594037946690	4.092521	  1   
S008C002P035R002A003	72057594037946664	3.985818	  1   
S008C002P035R002A003	72057594037946690	4.092521	  1   
S008C002P035R002A006	72057594037946664	3.985818	  1   
S008C002P035R002A006	72057594037946690	4.092521	  1   
S008C002P035R002A007	72057594037946664	3.985818	  1   
S008C002P035R002A007	72057594037946690	4.092521	  1   
S010C001P017R001A007	72057594037943225	0.510906	  10  
S010C001P018R002A008	72057594037937067	0.405561	  11  
S013C001P025R002A001	72057594037929378	2.137621	  1   
S013C001P025R002A001	72057594037929450	1.481214	  1   
S015C003P015R002A008	72057594037932373	1.342840	  4   
      Skeleton      	     bodyID      	 Motion 	Length
      Skeleton      	     bodyID      	 Motion 	Length
      Skeleton      	     bodyID      	 Motion 	Length
S001C003P002R002A001	72057594037934093	0.142748	  1   
S001C003P002R002A001	72057594037934193	0.138366	  1   
S001C003P002R002A002	72057594037934093	0.142748	  1   
S001C003P002R002A002	72057594037934193	0.138366	  1   
S001C003P002R002A003	72057594037934093	0.142748	  1   
S001C003P002R002A003	72057594037934193	0.138366	  1   
S001C003P002R002A005	72057594037934439	0.161144	  1   
S001C003P002R002A006	72057594037934439	0.161144	  1   
S001C003P002R002A007	72057594037934439	0.161144	  1   
S001C003P002R002A008	72057594037934439	0.161144	  1   
S001C003P002R002A008	72057594037934584	0.151229	  1   
S001C003P002R002A009	72057594037934439	0.161144	  1   
S001C003P002R002A009	72057594037934584	0.151229	  1   
S001C003P002R002A010	72057594037934439	0.161144	  1   
S002C003P010R002A001	72057594037930361	0.161634	  1   
S002C003P010R002A001	72057594037930360	0.220255	  1   
S002C003P010R002A002	72057594037930361	0.161634	  1   
S002C003P010R002A002	72057594037930360	0.220255	  1   
S002C003P010R002A003	72057594037930361	0.161634	  1   
S002C003P010R002A003	72057594037930360	0.220255	  1   
S002C003P010R002A005	72057594037930361	0.161634	  1   
S002C003P010R002A005	72057594037930360	0.220255	  1   
S002C003P010R002A031	72057594037930854	0.150835	  1   
S002C003P010R002A034	72057594037930854	0.150835	  1   
S002C003P010R002A035	72057594037930854	0.150835	  1   
S004C003P003R001A035	72057594037931618	0.035492	  6   
S005C002P004R001A002	72057594037931915	0.188904	  1   
S005C002P004R001A002	72057594037931959	0.193252	  1   
S005C002P004R001A005	72057594037931915	0.188904	  1   
S005C002P004R001A005	72057594037931959	0.193252	  1   
S005C002P004R001A006	72057594037931915	0.188904	  1   
S005C002P004R001A006	72057594037931959	0.193252	  1   
S005C002P004R001A023	72057594037932862	0.090379	  1   
S005C002P004R001A024	72057594037932862	0.090379	  1   
S005C002P004R001A026	72057594037932862	0.090379	  1   
S005C002P004R002A001	72057594037933025	0.190367	  1   
S005C002P004R002A001	72057594037932876	0.199731	  1   
S005C002P004R002A003	72057594037933202	0.181260	  1   
S005C002P004R002A005	72057594037933202	0.181260	  1   
S005C002P004R002A006	72057594037933202	0.181260	  1   
S005C002P004R002A007	72057594037933202	0.181260	  1   
S005C002P004R002A008	72057594037933202	0.181260	  1   
S005C002P004R002A023	72057594037933212	0.107981	  1   
S005C002P004R002A024	72057594037933212	0.107981	  1   
S005C002P004R002A026	72057594037933212	0.107981	  1   
S005C002P004R002A027	72057594037933212	0.107981	  1   
S005C002P004R002A029	72057594037933212	0.107981	  1   
S005C002P004R002A031	72057594037933212	0.107981	  1   
S005C002P004R002A034	72057594037933212	0.107981	  1   
S005C002P004R002A035	72057594037933212	0.107981	  1   
S005C002P004R002A036	72057594037933212	0.107981	  1   
S005C002P004R002A039	72057594037933212	0.107981	  1   
S005C002P004R002A040	72057594037933212	0.107981	  1   
S006C002P016R001A008	72057594037944587	0.110064	  1   
S007C002P015R001A029	72057594037968830	0.151764	  1   
S007C002P015R001A031	72057594037968830	0.151764	  1   
S008C002P035R002A001	72057594037946690	0.177802	  1   
S008C002P035R002A003	72057594037946664	0.186752	  1   
S008C002P035R002A003	72057594037946690	0.177802	  1   
S008C002P035R002A006	72057594037946664	0.186752	  1   
S008C002P035R002A006	72057594037946690	0.177802	  1   
S008C002P035R002A007	72057594037946664	0.186752	  1   
S008C002P035R002A007	72057594037946690	0.177802	  1   
S010C001P017R001A007	72057594037943225	0.125695	  10  
S010C001P018R002A008	72057594037937067	0.097904	  11  
S013C001P025R002A001	72057594037929378	0.164685	  1   
S013C001P025R002A001	72057594037929450	0.183851	  1   
S015C003P015R002A008	72057594037932373	0.114825	  4   
